,domestic total gross,genre,movie title,production_budget,rating,release date,runtime (mins)
333,1568100.0,Foreign,Kon-Tiki,N/A,PG-13,2013-04-26,101
334,12900.0,Comedy,Rid of Me,N/A,Unrated,2011-11-18,90
335,284700.0,Foreign,White God,N/A,R,2015-03-27,119
336,106900.0,Crime Thriller,The Chronicles of Evil,N/A,Unrated,2015-05-15,102
337,12200.0,Action / Adventure,Falcon Rising,N/A,R,2014-09-05,103
338,4200.0,Foreign,Three Worlds,N/A,Unrated,2013-06-21,101
339,12300.0,Documentary,Wa-shoku: Beyond Sushi,N/A,Unrated,2015-04-10,107
340,5100.0,Foreign,Breathing,N/A,Unrated,2012-08-31,94
341,139000.0,Drama,La Sapienza,N/A,Unrated,2015-03-20,100
342,14100.0,Romantic Comedy,The Trouble with Bliss,N/A,PG-13,2012-03-23,97
343,220900.0,Horror Comedy,"Filth to Ashes, Flesh to Dust",N/A,Unrated,2011-09-30,86
344,83368600.0,Action / Adventure,Maze Runner: The Scorch Trials,$61 million,PG-13,2015-09-18,131
345,12000.0,Foreign,The Woman with the Five Elephants,N/A,Unrated,2011-07-20,0
346,665900.0,Foreign,Mary Kom,N/A,Unrated,2014-09-05,122
347,54268600.0,Family Comedy,Muppets Most Wanted,$50 million,PG,2014-03-21,112
348,300900.0,Comedy,Go Away Mr. Tumor,N/A,Unrated,2015-08-14,85
349,3390400.0,Foreign,Zindagi Na Milegi Dobara,N/A,Unrated,2011-07-15,155
350,135500600.0,Sci-Fi Action,Prometheus,$130 million,R,2012-06-08,124
351,13931500.0,Horror,Silent House,N/A,R,2012-03-09,85
352,268000.0,Foreign,Action Jackson,N/A,Unrated,2014-12-05,144
353,29101600.0,Horror,Sinister 2,$10 million,R,2015-08-21,97
354,1029600.0,Foreign,Gett: The Trial of Viviane Amsalem,N/A,Unrated,2015-02-13,115
355,1912800.0,Drama,Take Shelter,$5 million,R,2011-09-30,120
356,35300.0,Drama,White Bird in a Blizzard,N/A,R,2014-10-24,91
357,4600.0,Animation,Back to the Jurassic,N/A,Unrated,2015-06-12,86
358,27600.0,Romance,Waiting for Forever,$5 million,PG-13,2011-02-04,94
