,Unnamed: 0,domestic total gross,genre,movie title,production_budget,rating,release date,runtime (mins)
277,277,97915900.0,Family Comedy,The Muppets,$45 million,PG,2011-11-23,120
278,278,3300.0,Crime Drama,Mi America,,R,2015-10-16,120
279,279,2700.0,Comedy / Drama,Jake Squared,,R,2014-08-15,100
280,280,163400.0,Foreign,Beginning of the Great Revival,,Unrated,2011-06-24,124
281,281,206000.0,Drama,Bol,,Unrated,2011-08-31,165
282,282,119300.0,Animation,Anohana The Movie: The Flower We Saw That Day,,Unrated,2014-01-18,106
283,283,1912000.0,Drama,Testament of Youth,,PG-13,2015-06-05,129
284,284,1036900.0,Drama,5 Flights Up,,PG-13,2015-05-08,92
285,285,15200.0,Animation,Cheatin',,Unrated,2015-04-03,76
286,286,24000.0,Drama,Viola,,Unrated,2013-07-12,65
287,287,19500.0,Documentary,La Camioneta,,Unrated,2013-05-31,0
288,288,95168800.0,Action,Taken 3,$48 million,PG-13,2015-01-09,109
289,289,10538400.0,Comedy,I Don't Know How She Does It,$24 million,PG-13,2011-09-16,95
290,290,62900.0,Comedy,It's a Disaster,,R,2013-04-12,88
291,291,52800.0,Comedy / Drama,The Discoverers,,Unrated,2014-05-16,104
292,292,3500.0,Documentary,Plastic Planet,,Unrated,2011-01-14,95
293,293,18900.0,Drama,Torn,,Unrated,2013-10-18,80
294,294,49000.0,Foreign,Double Trouble,,Unrated,2012-06-08,90
295,295,93100.0,Action Drama,Hero,,Unrated,2015-09-11,145
296,296,4211900.0,Drama,Mr. Turner,,R,2014-12-19,150
297,297,94513100.0,Action Drama,Real Steel,,PG-13,2011-10-07,127
298,298,25100.0,Sci-Fi Thriller,The Last Days on Mars,,R,2013-12-06,98
299,299,340800.0,Crime Thriller,Talvar,,Unrated,2015-10-02,132
300,300,761400.0,Documentary,56 Up,,Unrated,2013-01-04,144
301,301,19331500.0,Horror,Chernobyl Diaries,,R,2012-05-25,90
302,302,67100.0,Documentary,Let the Fire Burn,,Unrated,2013-10-02,95
303,303,394100.0,Comedy / Drama,The Oranges,,R,2012-10-05,90
304,304,13900.0,Documentary,The Pleasures of Being Out of Step,,Unrated,2014-05-16,87
305,305,29041700.0,Sci-Fi Thriller,The Host,$40 million,PG-13,2013-03-29,125
306,306,21500.0,Comedy,Whensday,,Unrated,2013-08-09,100
307,307,662100.0,Foreign,Heroine,,Unrated,2012-09-21,140
308,308,217800.0,Sports Drama,Touchback,,PG-13,2012-04-13,118
309,309,4259000.0,Comedy / Drama,Frances Ha,,R,2013-05-17,86
310,310,51900.0,Comedy,A Birder's Guide to Everything,,PG-13,2014-03-21,86
311,311,1136800.0,Family,Oogieloves In The BIG Balloon Adventure,$20 million,G,2012-08-29,83
312,312,250500.0,Period Drama,Brighton Rock,$12 million,R,2011-08-26,111
313,313,70746100.0,Animation,Happy Feet Two,,PG,2011-11-18,105
314,314,9642100.0,Comedy,Movie 43,$6 million,R,2013-01-25,97
315,315,19400.0,Drama,Going Away,,Unrated,2015-10-02,95
316,316,10700.0,Foreign / Horror,Rec 3: Genesis,,R,2012-09-07,80
317,317,78300.0,Drama,Detachment,,Unrated,2012-03-16,100
318,318,1100.0,Action,Java Heat,,R,2013-05-10,104
319,319,9200.0,Foreign,Love is in the Air,,Unrated,2014-01-31,96
320,320,20300.0,Drama,28 Hotel Rooms,,Unrated,2012-11-09,82
321,321,31400.0,Documentary,Garbo: The Spy,,Unrated,2011-11-18,87
322,322,182400.0,Drama,Dark Horse,,Unrated,2012-06-08,84
323,323,2483700.0,Foreign,No,,R,2013-02-15,118
324,324,57290900.0,Musical,Footloose,$24 million,PG-13,2011-10-14,113
325,325,21207800.0,Action,Brick Mansions,$28 million,PG-13,2014-04-25,90
326,326,111400.0,Foreign,Una Noche,,Unrated,2013-08-23,90
