,domestic total gross,genre,movie title,production_budget,rating,release date,runtime (mins)
184,23321100.0,Animation,Storks,$70 million,PG,2016-09-23 00:00:00,89
185,61891400.0,Drama,Miracles from Heaven,$13 million,PG,2016-03-16 00:00:00,109
186,1500.0,Thriller,Level Up,N/A,Unrated,2016-08-26 00:00:00,84
187,4900.0,Documentary,Seed: The Untold Story,N/A,Unrated,2016-08-22 00:00:00,94
188,3194600.0,Thriller,Green Room,N/A,R,2016-04-15 00:00:00,94
189,4500.0,Sci-Fi Thriller,Synchronicity,N/A,R,2016-01-22 00:00:00,101
190,3102700.0,Action,Compadres,N/A,R,2016-04-22 00:00:00,101
191,800.0,Romantic Comedy,The Student and Mr. Henri,N/A,Unrated,2016-08-19 00:00:00,98
192,6600.0,Documentary,The Dying of the Light,N/A,Unrated,2016-04-07 00:00:00,85
193,480339200.0,Animation,Finding Dory,N/A,PG,2016-06-17 00:00:00,103
194,23100.0,Animation,Project Itoh - Harmony,N/A,Unrated,2016-05-17 00:00:00,0
195,70900.0,Comedy / Drama,The Congressman,N/A,R,2016-04-29 00:00:00,98
196,6198000.0,Drama,Southside with You,N/A,PG-13,2016-08-26 00:00:00,81
197,26093900.0,Historical Epic,Ben-Hur,$100 million,PG-13,2016-08-19 00:00:00,123
198,2800.0,Drama,White Lies,N/A,Unrated,2016-03-04 00:00:00,99
199,47618100.0,Action / Adventure,The Huntsman: Winter's War,$115 million,PG-13,2016-04-22 00:00:00,114
200,4800.0,Documentary,Call Her Applebroog,N/A,Unrated,2016-06-10 00:00:00,70
201,328800.0,Crime Thriller,Te3n,N/A,Unrated,2016-06-10 00:00:00,135
202,1984400.0,Action Thriller,Train to Busan,N/A,Unrated,2016-07-22 00:00:00,118
203,35925000.0,Comedy,Dirty Grandpa,N/A,R,2016-01-22 00:00:00,102
204,526400.0,Romance,Fitoor,N/A,Unrated,2016-02-12 00:00:00,130
205,55300.0,Drama,L'attesa,N/A,Unrated,2016-04-29 00:00:00,110
206,8300.0,Drama,Never,N/A,Unrated,2016-08-19 00:00:00,85
207,34400.0,Action Comedy,Mr. Right,N/A,R,2016-04-08 00:00:00,95
208,366257200.0,Action,Deadpool,$58 million,R,2016-02-12 00:00:00,106
209,3127900.0,Drama,Our Kind of Traitor,N/A,R,2016-07-01 00:00:00,108
210,11600.0,Documentary,Lucha Mexico,N/A,Unrated,2016-07-15 00:00:00,103
211,300.0,Comedy,News From Planet Mars,N/A,Unrated,2016-07-22 00:00:00,101
212,15928500.0,Drama,Eddie the Eagle,$23 million,PG-13,2016-02-26 00:00:00,105
213,112400.0,Documentary,Hieronymus Bosch: Touched by the Devil,N/A,Unrated,2016-07-16 00:00:00,86
214,25100.0,Drama,Cosmos,N/A,Unrated,2016-06-17 00:00:00,103
215,15100.0,Drama,Of Mind and Music,N/A,PG-13,2016-02-12 00:00:00,97
216,13900.0,Documentary,A Space Program,N/A,Unrated,2016-03-18 00:00:00,72
217,63300.0,Adventure,Microbe & Gasoline,N/A,R,2016-07-01 00:00:00,105
218,35971000.0,Comedy Thriller,The Nice Guys,N/A,R,2016-05-20 00:00:00,116
219,45616600.0,Comedy,Mike and Dave Need Wedding Dates,$33 million,R,2016-07-08 00:00:00,98
220,13904200.0,Comedy,Love & Friendship,N/A,PG,2016-05-13 00:00:00,92
221,92900.0,Drama,Remember the Goal,N/A,PG,2016-08-26 00:00:00,87
222,17400.0,Romance,How He Fell in Love,N/A,Unrated,2016-07-08 00:00:00,107
223,24200.0,Romantic Comedy,Lolo,N/A,Unrated,2016-03-11 00:00:00,100
224,6528700.0,Historical Drama,The Young Messiah,N/A,PG-13,2016-03-11 00:00:00,111
225,1153900.0,Documentary,Vaxxed: From Cover-Up to Catastrophe,N/A,Unrated,2016-04-01 00:00:00,91
226,24300.0,Crime Thriller,Sudden Fear,N/A,Unrated,2016-08-12 00:00:00,111
227,12400.0,Thriller,The Ones Below,N/A,R,2016-05-27 00:00:00,87
228,3968300.0,Comedy / Drama,Don't Think Twice,N/A,R,2016-07-22 00:00:00,92
229,7100.0,Documentary,The Brainwashing of My Dad,N/A,Unrated,2016-03-18 00:00:00,90
230,52200.0,Drama,Cemetery of Splendor,N/A,Unrated,2016-03-04 00:00:00,122
231,1542500.0,Drama,Equity,N/A,R,2016-07-29 00:00:00,100
232,58900.0,Fantasy,Time Renegades,N/A,Unrated,2016-04-15 00:00:00,107
233,14500.0,Drama,Lamb,N/A,R,2016-01-08 00:00:00,96
234,4300.0,Documentary,On Meditation,N/A,Unrated,2016-07-27 00:00:00,65
235,3871800.0,Action / Crime,Kabali,N/A,Unrated,2016-07-21 00:00:00,153
236,10800.0,Drama,The Black Dove,N/A,Unrated,2016-08-12 00:00:00,0
237,2007900.0,Crime Drama,A Bigger Splash,N/A,R,2016-05-04 00:00:00,124
238,81133300.0,Horror Thriller,Don't Breathe,$9.9 million,R,2016-08-26 00:00:00,88
239,1348300.0,Animation,The Little Prince,N/A,PG,2016-02-12 00:00:00,108
240,570000.0,Drama,Knight of Cups,N/A,R,2016-03-04 00:00:00,118
241,44700.0,Drama,Fatima,N/A,Unrated,2016-08-26 00:00:00,79
242,83600.0,Comedy / Drama,Morris from America,N/A,R,2016-08-19 00:00:00,89
243,17537400.0,Romantic Comedy,Bridget Jones's Baby,$35 million,R,2016-09-16 00:00:00,122
244,1316400.0,Romantic Comedy,Housefull 3,N/A,Unrated,2016-06-03 00:00:00,140
245,316030300.0,Action / Adventure,Suicide Squad,$175 million,PG-13,2016-08-05 00:00:00,130
246,30000.0,Comedy,Men & Chicken,N/A,Unrated,2016-04-22 00:00:00,104
247,156600.0,Drama,Howards End,N/A,PG,2016-08-26 00:00:00,140
248,11200.0,Horror,Jeruzalem,N/A,R,2016-01-22 00:00:00,94
249,106647300.0,Animation,The Angry Birds Movie,$73 million,PG,2016-05-20 00:00:00,97
250,109400.0,Documentary,Miss Sharon Jones,N/A,Unrated,2016-07-29 00:00:00,94
251,8900.0,Romance,Providence,N/A,Unrated,2016-02-12 00:00:00,79
252,160111700.0,Action,Jason Bourne,$120 million,PG-13,2016-07-29 00:00:00,123
253,164400.0,Action Drama,The Age of Shadows,N/A,Unrated,2016-09-23 00:00:00,140
254,3282200.0,Drama,Indignation,N/A,R,2016-07-29 00:00:00,110
255,4700.0,Documentary,Roseanne for President!,N/A,Unrated,2016-07-01 00:00:00,96
256,3835800.0,Drama,The Man Who Knew Infinity,N/A,PG-13,2016-04-29 00:00:00,109
257,14100.0,Drama,As I Open My Eyes,N/A,Unrated,2016-09-08 00:00:00,102
258,155600.0,Documentary,The Witness,N/A,Unrated,2016-06-03 00:00:00,90
259,83300.0,Documentary,Los Sures,N/A,Unrated,2016-04-15 00:00:00,57
260,2294500.0,Comedy / Drama,A Aa,N/A,Unrated,2016-06-01 00:00:00,152
261,14800.0,Documentary,Argentina,N/A,Unrated,2016-06-17 00:00:00,85
262,101400.0,Fantasy,Tale of Tales,N/A,R,2016-04-22 00:00:00,133
263,1962700.0,Drama,Demolition,N/A,R,2016-04-08 00:00:00,101
264,76400.0,Romantic Comedy,My Best Friend's Wedding,N/A,PG,2016-08-12 00:00:00,91
265,73743100.0,Family,Pete's Dragon,$65 million,PG,2016-08-12 00:00:00,102
266,25500.0,Drama,Chevalier,N/A,Unrated,2016-05-27 00:00:00,99
267,174700.0,Drama / Thriller,Complete Unknown,N/A,R,2016-08-26 00:00:00,90
268,32600.0,Drama,The Map Against the World,N/A,Unrated,2016-09-09 00:00:00,129
269,29900.0,Drama,From Afar,N/A,Unknown,2016-06-08 00:00:00,93
270,26807800.0,Drama,When the Bough Breaks,$10 million,PG-13,2016-09-09 00:00:00,107
271,2800.0,Action,New World Order,N/A,Unrated,2016-09-23 00:00:00,117
272,1900.0,Drama,Chronic,N/A,R,2016-09-23 00:00:00,93
273,34100.0,Romance,Sweet Sixteen,N/A,Unrated,2016-08-19 00:00:00,93
274,5000.0,Drama,Star Crossed,N/A,Unrated,2016-05-13 00:00:00,78
275,3859800.0,Documentary,Where to Invade Next,N/A,R,2016-02-12 00:00:00,119
